id,is_iceberg
5941774d,0.11727795
4023181e,0.78796315
b20200e4,0.9994397
e7f018bb,0.8644936
4371c8c3,0.7043033
a8d9b1fd,0.022629112
29e7727e,0.0144563615
92a51ffb,0.8053478
c769ac97,2.5453128e-06
aee0547d,1.1332071e-07
565b28ac,0.0001705885
e04e9775,0.72876656
8e8161d1,0.00045084953
4cf4d256,0.4228924
139e5324,0.29163814
f156976f,0.00083342195
68a117cc,0.07168633
d9aa7a56,0.6226606
9005b143,0.9402836
5f6d3988,0.53622985
9ad70954,0.108925045
b9087b9e,0.37448722
a39a1427,0.98473537
82fbe8ed,0.35144678
1fae4879,2.2629432e-10
6dd8f13d,9.8395226e-08
bbad5958,0.037556916
54527583,0.3830866
be8fa29c,0.05836022
81a3328f,0.8187593
1a3c0ab3,2.1495541e-08
4deeeb8b,0.38597906
ac6d5632,0.6216231
472dadb5,0.8540681
96093f95,0.41359335
f5b4e3df,0.107506454
e01a3c92,0.0009993017
001680af,0.25574404
8e639f33,0.21489236
a2c16612,0.20583549
a6d76474,3.703621e-11
19c47684,0.5366653
015827b6,0.9699193
7df7f7ce,0.17752379
0bbf1a3f,0.45580864
636cfbb7,0.15159902
7370030a,0.7169784
43aa97ad,1.1464484e-12
ba2b5e63,0.8626457
dfdd335b,0.5889411
e79b13dc,8.694879e-09
dc32b195,0.70181453
6d868590,0.70236945
75fa59aa,0.12115997
ffe50836,0.8178337
a7bfd784,0.6456622
b3d569e3,0.14717066
6c538c5b,0.026820004
5c7c15f4,0.9967185
0b745139,0.9892066
fd14608e,0.5319643
f0bc8305,0.15146148
a10ccb28,0.89391685
543304c7,0.63980865
6c3a4078,2.0019666e-15
9b73cc75,0.42032662
5c6c71b1,0.03406161
09ee9186,0.88816375
207c35cf,0.47824883
153c813e,1.0
5605d58b,0.84143466
642ca396,0.00091201067
d32d72c0,0.6988571
16646a17,0.670084
384074af,0.96563685
69bf1e8c,0.40607554
9e90a054,0.7878729
89dbe7f7,0.6965087
dbd27d22,0.65633506
a2ea1561,0.65492636
d63402af,0.5798874
1ac8bb92,0.8113243
8beffca5,0.7324537
46741f3e,0.14978698
e5ee6aa7,0.9912617
5ecd892b,0.5827008
69892166,0.00019854307
2f725a81,0.087549
810abfe4,2.4037397e-11
e6f973e6,0.8935563
c60a5c46,0.2332376
c42b9e08,0.06738931
c3f00c23,0.99178445
5307fdb8,0.56897414
3e4f005e,0.026136845
4a4cc2e0,0.60178345
9bdd88d1,3.1426805e-07
0d832bed,0.01393339
14a134fa,0.00037169456
78a41676,4.4157455e-10
0bd4658e,0.02684629
4a311bb0,0.4666217
f939c817,0.91438544
956adc4d,0.72656983
f8a119f5,0.60839534
61faa1ad,0.89500284
6725eb3e,0.6356886
17b3a8fd,1.2017721e-05
49a88dfc,1.0716192e-06
2d6ec645,0.5875819
0d4d77ba,0.5733125
3ee672a2,0.96294725
738b41fd,0.7864374
f7fb320d,0.71110344
b42fad18,5.732346e-10
4ab8b00a,0.80393606
f7870f2b,0.008431464
4978666a,0.6300376
f1b0d6c7,0.0017315447
5642407f,0.0072108805
36d4ff92,0.7109523
4139aba2,0.8608377
7585ce58,0.50713503
33e25984,0.86260724
ac46f3c9,0.13283384
fc34a5b8,0.47538686
85c36a8f,0.67594314
b2d8a426,0.07862571
13ec60d1,0.35768622
9d440f42,0.053679645
1c0a891e,0.5572406
981c3bc3,0.9084025
295604f4,0.7574042
16ca16c3,0.117688745
b4dda837,0.1220344
88d088ef,0.00043398142
1b4fa160,0.72423947
f371bd82,0.07844362
b130a0b7,0.7396215
ebf1de82,0.39810014
01e651c3,0.9972712
51b1fecc,0.90735674
fa635a31,0.6893922
97b7d789,0.6900567
2f598053,0.005373746
c0e3e148,0.3909571
cfa175a8,0.0012238622
3d7e09d8,0.6208012
44a13d1b,0.63600314
c66b0948,0.78837264
976a6d64,0.16543856
8bbd8909,0.5661802
522890fd,0.9080026
f23a3b95,0.15962368
680039dc,0.8808454
93028e53,0.0057929456
22a16932,0.9928386
7d8126d2,0.000477314
ba2ecd75,3.050396e-06
8071bdd7,0.2981556
96d5aeee,0.00011653069
154be68f,0.5330657
d8c2bfe2,0.6282522
f76d47b0,0.8451324
0e781ade,5.3457243e-06
13cf6060,2.8431103e-12
cd99f710,0.9256426
d10005bb,0.11359581
3a31445f,0.9069744
3157202d,0.00218305
6ee64703,0.70969
e5de8685,0.09206647
02cc70ba,0.0002824068
50984a87,0.39182037
fa94957a,0.8452581
eab406b4,0.23068923
3ad39398,0.7760006
9ecf3802,0.9918333
6048ae7b,3.995797e-10
9dc68871,0.0013727844
13701465,0.07109198
8d8779f3,7.894759e-06
0712f269,0.6744766
722c2597,4.1504358e-05
478a2b08,0.68404347
38f5fb41,0.51508796
c52ad74d,0.5497765
0c85fd09,9.1248256e-07
f1582cba,0.5710389
ff836697,0.7642379
ddfe4802,0.033537447
3cef3bc7,0.60824734
6a21542b,0.08977306
150e23c4,0.9050603
078c6d99,0.6855302
1dcd1dc3,2.9792902e-06
39967e45,0.4721493
6b6333aa,0.99999934
4ae61433,0.44386905
f96362e0,0.07715294
97a88aac,0.81382453
427ae8ce,0.00926882
209d4b15,0.023115337
64b453bd,3.767098e-12
0f5a484e,0.6936028
5ac74969,0.34364438
736ed43e,0.75990105
8533795f,0.7699656
f5b54fb6,0.45489857
6eb4c041,0.45546892
97afdf42,0.5408306
1bb488db,0.9476189
f132e44d,0.23515058
d3c2f140,0.67037416
1756794d,0.57990205
9efcc11f,9.79904e-10
14c966cf,0.779224
59cfe4d1,0.78082794
883151f4,0.9969419
34c4c9ff,0.68289423
70b4c2eb,0.21892259
96a337d9,0.7095063
7fe89ffa,0.28436238
057c7a22,5.5554562e-08
451cc057,0.29205495
05076700,1.8086074e-09
dc52f6c1,0.09038228
b03a59f9,0.4633545
129ed4b0,0.82285756
fb611563,0.5845314
ac32e6f1,0.7212317
c05c5ab0,0.73780096
3163d5ed,0.02368927
02096ca4,0.81283146
e92496c0,2.3230423e-05
1a9e2c50,0.8224851
0864e334,0.64416146
d976faeb,0.7230008
1d7b342f,9.2438795e-06
281bc1ea,5.5728373e-09
bea9f0cf,0.65641415
f4afa0e6,2.0118466e-07
e1b5ef69,0.46168885
b50539fd,0.94792044
2a8c9c15,0.6051821
157ebb0c,0.8422021
247d3614,0.0059737563
0c6cc0cb,0.94122887
aae88d39,0.11311701
0c77b464,0.022056997
963cf5ea,0.89130473
1b371d8b,0.7116156
225bc00f,1.1660281e-10
bc0a4eec,0.029889792
1099782e,0.040267915
a18feadd,0.6434922
ad7f4932,0.0019547045
5f8f831e,0.44016019
b5167c35,0.069450796
0230b06d,0.67547226
f8d7f7ba,0.0003645718
08bd1053,0.1017023
58e4dc8c,2.7112252e-05
4793ce8e,0.25769612
304caab4,1.7074224e-07
